Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/10/06 15:00:00,10919.79687191684,0.0,43892.37539700349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10919.79687191684,10919.79687191684,0.0,12133.107635463153,0.0,10919.79687191684,12133.107635463153
2019/10/06 16:00:00,11558.28859414684,0.0,45754.08500839104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11558.28859414684,11558.28859414684,0.0,12842.542882385378,0.0,11558.28859414684,12842.542882385378
2019/10/06 17:00:00,10836.037265993245,0.0,39234.64318559354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10836.037265993245,10836.037265993245,0.0,12040.041406659158,0.0,10836.037265993245,12040.041406659158
2019/10/06 18:00:00,10923.168282364917,0.0,38826.416456132596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10923.168282364917,10923.168282364917,0.0,12136.853647072128,0.0,10923.168282364917,12136.853647072128
2019/10/06 19:00:00,11041.8645477969,0.0,35449.67823265375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11041.8645477969,11041.8645477969,0.0,12268.738386440997,0.0,11041.8645477969,12268.738386440997
2019/10/06 20:00:00,11496.726723980977,0.0,34196.29433258272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11496.726723980977,11496.726723980977,0.0,12774.140804423305,0.0,11496.726723980977,12774.140804423305
2019/10/06 21:00:00,10631.698675974498,0.0,36398.443413908746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10631.698675974498,10631.698675974498,0.0,11812.998528860559,0.0,10631.698675974498,11812.998528860559
2019/10/06 22:00:00,8361.085673148269,0.0,31585.493961771666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8361.085673148269,8361.085673148269,0.0,9290.095192386965,0.0,8361.085673148269,9290.095192386965
2019/10/06 23:00:00,6284.902832765991,0.0,26918.5397665504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6284.902832765991,6284.902832765991,0.0,6983.22536973999,0.0,6284.902832765991,6983.22536973999
2019/10/07 00:00:00,4091.1162168787546,0.0,20079.706360224016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4091.1162168787546,4091.1162168787546,0.0,4545.684685420838,0.0,4091.1162168787546,4545.684685420838
2019/10/07 01:00:00,3300.498844592016,0.0,6670.4860629205705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.498844592016,3300.498844592016,0.0,3667.220938435573,0.0,3300.498844592016,3667.220938435573
2019/10/07 02:00:00,3572.2610759396975,0.0,7855.058669974165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3572.2610759396975,3572.2610759396975,0.0,3969.1789732663315,0.0,3572.2610759396975,3969.1789732663315
2019/10/07 03:00:00,3263.9403617499975,0.0,7425.762483902372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3263.9403617499975,3263.9403617499975,0.0,3626.6004019444417,0.0,3263.9403617499975,3626.6004019444417
2019/10/07 04:00:00,4224.509050652226,0.0,10512.671396432372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4224.509050652226,4224.509050652226,0.0,4693.89894516914,0.0,4224.509050652226,4693.89894516914
2019/10/07 05:00:00,5160.365735827175,0.0,9117.638548457808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5160.365735827175,5160.365735827175,0.0,5733.739706474639,0.0,5160.365735827175,5733.739706474639
2019/10/07 06:00:00,8872.536795329523,0.0,28874.27531833244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8872.536795329523,8872.536795329523,0.0,9858.374217032802,0.0,8872.536795329523,9858.374217032802
2019/10/07 07:00:00,9300.35116982474,0.0,43934.97420967088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9300.35116982474,9300.35116982474,0.0,10333.723522027489,0.0,9300.35116982474,10333.723522027489
2019/10/07 08:00:00,11414.074680813206,0.0,48807.044939140746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11414.074680813206,11414.074680813206,0.0,12682.305200903564,0.0,11414.074680813206,12682.305200903564
2019/10/07 09:00:00,12017.730420375485,0.0,42553.45862090475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12017.730420375485,12017.730420375485,0.0,13353.033800417204,0.0,12017.730420375485,13353.033800417204
2019/10/07 10:00:00,13661.900873948356,0.0,48582.49587680102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13661.900873948356,13661.900873948356,0.0,15179.889859942617,0.0,13661.900873948356,15179.889859942617
2019/10/07 11:00:00,14808.14346590059,0.0,48065.23250196928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14808.14346590059,14808.14346590059,0.0,16453.49273988954,0.0,14808.14346590059,16453.49273988954
2019/10/07 12:00:00,14064.935030632007,0.0,44886.06249243607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14064.935030632007,14064.935030632007,0.0,15627.705589591118,0.0,14064.935030632007,15627.705589591118
2019/10/07 13:00:00,14303.775148687439,0.0,41197.94849093129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14303.775148687439,14303.775148687439,0.0,15893.083498541599,0.0,14303.775148687439,15893.083498541599
2019/10/07 14:00:00,13917.39423916336,0.0,42325.303212727034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13917.39423916336,13917.39423916336,0.0,15463.771376848179,0.0,13917.39423916336,15463.771376848179
2019/10/07 15:00:00,13633.33065863701,0.0,45207.15072534839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13633.33065863701,13633.33065863701,0.0,15148.145176263348,0.0,13633.33065863701,15148.145176263348
2019/10/07 16:00:00,13851.207228072657,0.0,45728.522355563066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13851.207228072657,13851.207228072657,0.0,15390.23025341406,0.0,13851.207228072657,15390.23025341406
2019/10/07 17:00:00,13915.258527593207,0.0,44123.37536806328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13915.258527593207,13915.258527593207,0.0,15461.398363992455,0.0,13915.258527593207,15461.398363992455
2019/10/07 18:00:00,12743.752354265198,0.0,41312.425798140626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12743.752354265198,12743.752354265198,0.0,14159.724838072441,0.0,12743.752354265198,14159.724838072441
2019/10/07 19:00:00,13265.96169666963,0.0,39259.60103612499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13265.96169666963,13265.96169666963,0.0,14739.957440744036,0.0,13265.96169666963,14739.957440744036
